RCDTS,School Name,City,County,School Type,SAT Reading Average Score,SAT Math Average Score,Total SAT Score,SAT Score Percentage
010010010260001,Seymour High School,Payson,Adams,HIGH SCHOOL,473.4,455.2,928.5999999999999,0.580375%
010010020260001,Liberty High School,Liberty,Adams,HIGH SCHOOL,470.2,481.5,951.7,0.5948125000000001%
010010030260001,Central High School,Camp Point,Adams,HIGH SCHOOL,506.2,507.1,1013.3,0.6333125%
010010040260001,Unity High School,Mendon,Adams,HIGH SCHOOL,485.1,464.4,949.5,0.5934375%
010011720220003,Quincy Sr High School,Quincy,Adams,HIGH SCHOOL,476.4,449.4,925.8,0.578625%
010050010260001,Brown County High School,Mount Sterling,Brown,HIGH SCHOOL,491.0,487.1,978.1,0.6113125%
010090150260007,Beardstown Jr/Sr High School,Beardstown,Cass,HIGH SCHOOL,419.3,394.2,813.5,0.5084375%
010090640260003,Virginia Jr/ Sr High School,Virginia,Cass,HIGH SCHOOL,490.8,468.3,959.1,0.5994375000000001%
010092620260002,A-C Central High School,Ashland,Cass,HIGH SCHOOL,469.2,441.7,910.9,0.5693125%
010690010260001,Franklin Jr/Sr High School,Franklin,Morgan,HIGH SCHOOL,455.5,433.6,889.1,0.5556875%
010690060260001,Waverly Junior/Senior High School,Waverly,Morgan,HIGH SCHOOL,445.2,424.8,870.0,0.54375%
010690110260001,Meredosia-Chambersburg High Sch,Meredosia,Morgan,HIGH SCHOOL,416.7,388.7,805.4,0.503375%
010690270260001,Triopia Jr-Sr High School,Concord,Morgan,HIGH SCHOOL,476.2,491.0,967.2,0.6045%
010691170220014,Jacksonville High School,Jacksonville,Morgan,HIGH SCHOOL,477.6,448.2,925.8,0.578625%
010750030260002,Pleasant Hill High School,Pleasant Hill,Pike,HIGH SCHOOL,438.3,422.3,860.6,0.537875%
010750040260002,Griggsville-Perry High School,Griggsville,Pike,HIGH SCHOOL,461.0,438.0,899.0,0.561875%
010750100260009,Pittsfield High School,Pittsfield,Pike,HIGH SCHOOL,470.5,450.3,920.8,0.5755%
010750120260001,Western High School,Barry,Pike,HIGH SCHOOL,493.3,463.7,957.0,0.598125%
010860010260001,Winchester High School,Winchester,Scott,HIGH SCHOOL,460.3,443.6,903.9000000000001,0.5649375000000001%
010860020260001,Bluffs High School,Bluffs,Scott,HIGH SCHOOL,451.7,466.7,918.4,0.574%
030030010260001,Mulberry Grove Sr High School,Mulberry Grove,Bond,HIGH SCHOOL,451.6,443.4,895.0,0.559375%
030030020260001,Bond Cty Comm Unit 2 High School,Greenville,Bond,HIGH SCHOOL,495.2,472.9,968.0999999999999,0.6050625%
030110010260002,Morrisonville High School,Morrisonville,Christian,HIGH SCHOOL,447.8,403.5,851.3,0.5320625%
030110030260006,Taylorville Sr High School,Taylorville,Christian,HIGH SCHOOL,475.2,453.2,928.4,0.5802499999999999%
030110040260002,Edinburg High School,Edinburg,Christian,HIGH SCHOOL,493.1,402.3,895.4000000000001,0.559625%
030110080260006,Pana Sr High School,Pana,Christian,HIGH SCHOOL,473.0,438.6,911.6,0.56975%
030110140240001,South Fork Jr Sr High School,Kincaid,Christian,HIGH SCHOOL,417.0,393.5,810.5,0.5065625%
030250100260001,Altamont High School,Altamont,Effingham,HIGH SCHOOL,462.2,445.3,907.5,0.5671875%
030250200260001,Beecher City Jr-Sr High School,Beecher City,Effingham,HIGH SCHOOL,504.2,524.2,1028.4,0.64275%
030250300260001,Dieterich Jr/Sr High School,Dieterich,Effingham,HIGH SCHOOL,468.6,468.9,937.5,0.5859375%
030250400260001,Effingham High School,Effingham,Effingham,HIGH SCHOOL,471.2,451.4,922.5999999999999,0.5766249999999999%
030250500260001,Teutopolis High School,Teutopolis,Effingham,HIGH SCHOOL,503.4,492.0,995.4,0.622125%
030262010260003,Brownstown High School,Brownstown,Fayette,HIGH SCHOOL,456.2,434.8,891.0,0.556875%
030262020260002,St Elmo Sr High School,Saint Elmo,Fayette,HIGH SCHOOL,476.6,446.9,923.5,0.5771875%
030262030260001,Vandalia Community High School,Vandalia,Fayette,HIGH SCHOOL,448.1,437.5,885.6,0.5535%
030262040260002,Ramsey High School,Ramsey,Fayette,HIGH SCHOOL,456.9,455.2,912.0999999999999,0.5700624999999999%
030680020260001,Lincolnwood High School,Raymond,Montgomery,HIGH SCHOOL,463.7,457.0,920.7,0.5754375%
030680030260001,Hillsboro High School,Hillsboro,Montgomery,HIGH SCHOOL,457.0,431.2,888.2,0.555125%
030680120260001,Litchfield Senior High School,Litchfield,Montgomery,HIGH SCHOOL,463.9,445.5,909.4,0.568375%
030680220260001,Nokomis Jr/Sr High Sch,Nokomis,Montgomery,HIGH SCHOOL,465.4,468.3,933.7,0.5835625%
